Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Jorge Bischoff,Prata,Dafiti,Tênis Jorge Bischoff Metalizado Prata,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 649,00","R$ 329,99","R$ 351,05",5x,Tênis Jorge Bischoff Metalizado Prata,tenis jorge bischoff metalizado prata,tenis jorge bischoff metalizado prata
Anacapri,Marrom,Dafiti,Rasteira Feminina Anacapri Tiras Couro Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,90","R$ 149,99","R$ 159,56",2x,Rasteira Feminina Anacapri Tiras Couro Marrom,rasteira feminina anacapri tiras couro marrom,rasteira feminina anacapri tiras couro marrom
Bottero,Branco,Dafiti,Sandália Feminina Bottero Salto Anabela ...,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 289,99","R$ 219,99","R$ 234,03",3x,Sandália Feminina Bottero Salto Anabela ...,sandalia feminina bottero salto anabela,sandalia feminina bottero salto anabela
Jorge Bischoff,Marrom,Dafiti,Tênis Masculino Jorge Bischoff Cano Baixo Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,00","R$ 359,99","R$ 382,97",6x,Tênis Masculino Jorge Bischoff Cano Baixo Marrom,tenis masculino jorge bischoff cano baixo marrom,tenis masculino jorge bischoff cano baixo marrom
Usaflex,Marrom,Dafiti,Rasteira Feminina Usaflex Detalhe Metálico Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,99","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Usaflex Detalhe Metálico Marrom,rasteira feminina usaflex detalhe metalico marrom,rasteira feminina usaflex detalhe metalico marrom
Modare,Marrom,Dafiti,Mocassim Feminino Modare Texturizado Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 139,90","R$ 89,99","R$ 95,73",1x,Mocassim Feminino Modare Texturizado Marrom,mocassim feminino modare texturizado marrom,mocassim feminino modare texturizado marrom
Modare,Marrom,Dafiti,Bota Feminina Modare Cano Baixo Salto Bl...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 249,90","R$ 169,99","R$ 180,84",3x,Bota Feminina Modare Cano Baixo Salto Bl...,bota feminina modare cano baixo salto bl,bota feminina modare cano baixo salto bl
Colcci,Verde,Dafiti,Tênis Feminino Colcci Knit Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 239,99","R$ 174,99","R$ 186,16",3x,Tênis Feminino Colcci Knit Verde,tenis feminino colcci knit verde,tenis feminino colcci knit verde
Santa Lolla,Bege,Dafiti,Tênis Santa Lolla Recorte Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 229,90","R$ 129,99","R$ 138,29",2x,Tênis Santa Lolla Recorte Bege,tenis santa lolla recorte bege,tenis santa lolla recorte bege
Vizzano,Branco,Dafiti,Tênis Feminino Vizzano Sola 3cm Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,90","R$ 139,99","R$ 148,93",2x,Tênis Feminino Vizzano Sola 3cm Branco,tenis feminino vizzano sola 3cm branco,tenis feminino vizzano sola 3cm branco
Anacapri,Branco,Dafiti,Tênis Anacapri Recortes Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,99","R$ 219,99","R$ 234,03",3x,Tênis Anacapri Recortes Branco,tenis anacapri recortes branco,tenis anacapri recortes branco
Jorge Bischoff,Off-white,Dafiti,Sapatilha Feminina Jorge Bischoff Recort...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 449,00","R$ 229,99","R$ 244,67",4x,Sapatilha Feminina Jorge Bischoff Recort...,sapatilha feminina jorge bischoff recort,sapatilha feminina jorge bischoff recort
Ramarim,Bege,Dafiti,Tênis Feminino Ramarim Bico Arredondado Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 289,90","R$ 209,99","R$ 223,39",3x,Tênis Feminino Ramarim Bico Arredondado Bege,tenis feminino ramarim bico arredondado bege,tenis feminino ramarim bico arredondado bege
Modare,Preto,Dafiti,Mocassim Feminino Modare Detalhe Metal Preto,"Calçados,Calçados Femininos,Mocassim","R$ 149,90","R$ 104,99","R$ 111,69",1x,Mocassim Feminino Modare Detalhe Metal Preto,mocassim feminino modare detalhe metal preto,mocassim feminino modare detalhe metal preto
Asics,Azul,Dafiti,Tênis Feminino Asics Japan S Camurça Azul,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 499,99","R$ 374,99","R$ 398,93",6x,Tênis Feminino Asics Japan S Camurça Azul,tenis feminino asics japan s camurca azul,tenis feminino asics japan s camurca azul
Bottero,Marrom,Dafiti,Sandália Feminina Bottero Salto Anabela Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 309,99","R$ 229,99","R$ 244,67",4x,Sandália Feminina Bottero Salto Anabela Marrom,sandalia feminina bottero salto anabela marrom,sandalia feminina bottero salto anabela marrom
Luiza Barcelos,Preto,Dafiti,Scarpin Feminino Luiza Barcelos Salto Alto Preto,"Calçados,Calçados Femininos,Scarpin","R$ 599,90","R$ 563,90","R$ 599,89",10x,Scarpin Feminino Luiza Barcelos Salto Alto Preto,scarpin feminino luiza barcelos salto alto preto,scarpin feminino luiza barcelos salto alto preto
VIA UNO,Bege,Dafiti,Rasteira Feminina VIA UNO Tira Larga Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,99","R$ 94,99","R$ 101,05",1x,Rasteira Feminina VIA UNO Tira Larga Bege,rasteira feminina via uno tira larga bege,rasteira feminina via uno tira larga bege
Beira Rio,Preto,Dafiti,Sapatilha Feminina Beira Rio Texturizada Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 109,90","R$ 44,99","R$ 47,86",1x,Sapatilha Feminina Beira Rio Texturizada Preta,sapatilha feminina beira rio texturizada preta,sapatilha feminina beira rio texturizada preta
Beira Rio,Caramelo,Dafiti,Sandália Feminina Beira Rio Salto Bloco Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 139,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina Beira Rio Salto Bloco Caramelo,sandalia feminina beira rio salto bloco caramelo,sandalia feminina beira rio salto bloco caramelo
Moleca,Marrom,Dafiti,Tênis Feminino Moleca Texturizado Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 99,90","R$ 69,99","R$ 74,46",1x,Tênis Feminino Moleca Texturizado Marrom,tenis feminino moleca texturizado marrom,tenis feminino moleca texturizado marrom
Mississipi,Marrom,Dafiti,Bota Feminina Mississipi Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 109,99","R$ 117,01",1x,Bota Feminina Mississipi Cano Baixo Marrom,bota feminina mississipi cano baixo marrom,bota feminina mississipi cano baixo marrom
Modare,Bege,Dafiti,Sapatilha Feminina Modare Ponteira Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 119,90","R$ 79,99","R$ 85,10",1x,Sapatilha Feminina Modare Ponteira Bege,sapatilha feminina modare ponteira bege,sapatilha feminina modare ponteira bege
Luiza Barcelos,Caramelo,Dafiti,Bota Biker Luiza Barcelos Tachas Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 1.299,90","R$ 489,99","R$ 521,27",8x,Bota Biker Luiza Barcelos Tachas Caramelo,bota biker luiza barcelos tachas caramelo,bota biker luiza barcelos tachas caramelo
Loucos e Santos,Marrom,Dafiti,Tênis Feminino Loucos e Santos Couro Tex...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 489,00","R$ 259,99","R$ 276,59",4x,Tênis Feminino Loucos e Santos Couro Tex...,tenis feminino loucos e santos couro tex,tenis feminino loucos santos couro tex
Vizzano,Marrom,Dafiti,Bota Feminina Vizzano Cano Curto Salto Q...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 269,90","R$ 184,99","R$ 196,80",3x,Bota Feminina Vizzano Cano Curto Salto Q...,bota feminina vizzano cano curto salto q,bota feminina vizzano cano curto salto q
Luiza Barcelos,Marrom,Dafiti,Mule Feminino Luiza Barcelos Detalhe Met...,"Calçados,Calçados Femininos,Mocassim","R$ 699,90","R$ 657,90","R$ 699,89",10x,Mule Feminino Luiza Barcelos Detalhe Met...,mule feminino luiza barcelos detalhe met,mule feminino luiza barcelos detalhe met
Bottero,Marrom,Dafiti,Sandália Feminina Bottero Anabela Tiras ...,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 269,99","R$ 189,99","R$ 202,12",3x,Sandália Feminina Bottero Anabela Tiras ...,sandalia feminina bottero anabela tiras,sandalia feminina bottero anabela tiras
adidas Originals,Branco,Dafiti,Tênis adidas Originals Adistar Control Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x,Tênis adidas Originals Adistar Control Branco,tenis adidas originals adistar control branco,tenis adidas originals adistar control branco
Jorge Bischoff,Azul Marinho,Dafiti,Sapatilha Feminina Jorge Bischoff Ponta ...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 499,00","R$ 249,99","R$ 265,95",4x,Sapatilha Feminina Jorge Bischoff Ponta ...,sapatilha feminina jorge bischoff ponta,sapatilha feminina jorge bischoff ponta
Vizzano,Preto,Dafiti,Rasteira Flat Vizzano Aplicação Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 64,99","R$ 69,14",1x,Rasteira Flat Vizzano Aplicação Preta,rasteira flat vizzano aplicacao preta,rasteira flat vizzano aplicacao preta
Bottero,Nude,Dafiti,Sapatilha Feminina Bottero Laço Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 179,99","R$ 161,99","R$ 172,33",2x,Sapatilha Feminina Bottero Laço Nude,sapatilha feminina bottero laco nude,sapatilha feminina bottero laco nude
Colcci,Off-white,Dafiti,Rasteira Feminina Colcci Duas Tiras Logo Off-White,"Calçados,Calçados Femininos,Rasteirinhas","R$ 289,99","R$ 149,99","R$ 159,56",2x,Rasteira Feminina Colcci Duas Tiras Logo Off-White,rasteira feminina colcci duas tiras logo off white,rasteira feminina colcci duas tiras logo off white
Dakota,Off-white,Dafiti,Rasteira Feminina Dakota Pedraria Off-Wh...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 149,99","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Dakota Pedraria Off-Wh...,rasteira feminina dakota pedraria off wh,rasteira feminina dakota pedraria off wh
DAFITI SHOES,Vinho,Dafiti,Rasteira Papete de Couro Coentruda Vinho...,"Calçados,Calçados Femininos,Papete","R$ 419,99","R$ 259,99","R$ 276,59",4x,Rasteira Papete de Couro Coentruda Vinho...,rasteira papete de couro coentruda vinho,rasteira papete couro coentruda vinho
Santa Lolla,Bege,Dafiti,Tênis Feminino Santa Lolla Couro Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90","R$ 179,99","R$ 191,48",3x,Tênis Feminino Santa Lolla Couro Bege,tenis feminino santa lolla couro bege,tenis feminino santa lolla couro bege
Ramarim,Preto,Dafiti,Tamanco Ramarim Tiras Preto,"Calçados,Calçados Femininos,Tamanco","R$ 159,90","R$ 64,99","R$ 69,14",1x,Tamanco Ramarim Tiras Preto,tamanco ramarim tiras preto,tamanco ramarim tiras preto
Santa Lolla,Preto,Dafiti,Scarpin Feminino Santa Lolla Amarração S...,"Calçados,Calçados Femininos,Scarpin","R$ 249,90","R$ 159,99","R$ 170,20",2x,Scarpin Feminino Santa Lolla Amarração S...,scarpin feminino santa lolla amarracao s,scarpin feminino santa lolla amarracao s
Jorge Bischoff,Bege,Dafiti,Tênis Feminino Jorge Bischoff Texturizado Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 499,00","R$ 249,99","R$ 265,95",4x,Tênis Feminino Jorge Bischoff Texturizado Bege,tenis feminino jorge bischoff texturizado bege,tenis feminino jorge bischoff texturizado bege
Anacapri,Off-white,Dafiti,Tênis Feminino Anacapri Detalhes Dourado...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 149,99","R$ 159,56",2x,Tênis Feminino Anacapri Detalhes Dourado...,tenis feminino anacapri detalhes dourado,tenis feminino anacapri detalhes dourado
Anacapri,Vinho,Dafiti,Tênis Feminino ANACAPRI Cano Baixo Vinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,90","R$ 209,99","R$ 223,39",3x,Tênis Feminino ANACAPRI Cano Baixo Vinho,tenis feminino anacapri cano baixo vinho,tenis feminino anacapri cano baixo vinho
Luiza Barcelos,Marrom,Dafiti,Rasteira Feminina Luiza Barcelos Detalhes Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 759,90","R$ 459,99","R$ 489,35",8x,Rasteira Feminina Luiza Barcelos Detalhes Marrom,rasteira feminina luiza barcelos detalhes marrom,rasteira feminina luiza barcelos detalhes marrom
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Salto Baixo Taça...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x,Scarpin Feminino Bebecê Salto Baixo Taça...,scarpin feminino bebece salto baixo taca,scarpin feminino bebece salto baixo taca
Santa Lolla,Marrom,Dafiti,Rasteira Feminina Santa Lolla Tira Drapeada Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 149,90","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Santa Lolla Tira Drapeada Marrom,rasteira feminina santa lolla tira drapeada marrom,rasteira feminina santa lolla tira drapeada marrom
Arezzo,Preto,Dafiti,Tênis Arezzo Slip-On Elástico Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 249,99","R$ 234,99","R$ 249,99",4x,Tênis Arezzo Slip-On Elástico Preto,tenis arezzo slip on elastico preto,tenis arezzo slip on elastico preto
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Slingback Textur...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Bebecê Slingback Textur...,scarpin feminino bebece slingback textur,scarpin feminino bebece slingback textur
Modare,Caramelo,Dafiti,Rasteira Fechada Feminina Modare Ilhós Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,99","R$ 64,99","R$ 69,14",1x,Rasteira Fechada Feminina Modare Ilhós Caramelo,rasteira fechada feminina modare ilhos caramelo,rasteira fechada feminina modare ilhos caramelo
Beira Rio,Preto,Dafiti,Rasteira Aberta Beira Rio Tachas Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 34,99","R$ 37,22",1x,Rasteira Aberta Beira Rio Tachas Preta,rasteira aberta beira rio tachas preta,rasteira aberta beira rio tachas preta
Jorge Bischoff,Dourado,Dafiti,Tênis Jorge Bischoff Metalizado Dourada,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 599,00","R$ 239,99","R$ 255,31",4x,Tênis Jorge Bischoff Metalizado Dourada,tenis jorge bischoff metalizado dourada,tenis jorge bischoff metalizado dourada
Beira Rio,Nude,Dafiti,Sandália Anabela Beira Rio Aplicação Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 169,99","R$ 89,99","R$ 95,73",1x,Sandália Anabela Beira Rio Aplicação Nude,sandalia anabela beira rio aplicacao nude,sandalia anabela beira rio aplicacao nude
Melissa,Branco,Dafiti,Rasteira Melissa Mar M-Lover Branca,"Calçados,Calçados Femininos,Rasteirinhas","R$ 179,90","R$ 169,10","R$ 179,89",3x,Rasteira Melissa Mar M-Lover Branca,rasteira melissa mar m lover branca,rasteira melissa mar m lover branca
Capodarte,Caramelo,Dafiti,Sapatilha Feminina Capodarte Bico Redondo Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 450,00","R$ 329,99","R$ 351,05",5x,Sapatilha Feminina Capodarte Bico Redondo Caramelo,sapatilha feminina capodarte bico redondo caramelo,sapatilha feminina capodarte bico redondo caramelo
Santa Lolla,Branco,Dafiti,Tênis Santa Lolla Recortes Branca,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 249,90","R$ 139,99","R$ 148,93",2x,Tênis Santa Lolla Recortes Branca,tenis santa lolla recortes branca,tenis santa lolla recortes branca
Vans,Preto,Dafiti,Tênis Unissex Vans Slip On Classic Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 299,99","R$ 281,99","R$ 299,99",5x,Tênis Unissex Vans Slip On Classic Preto,tenis unissex vans slip on classic preto,tenis unissex vans slip on classic preto
Beira Rio,Preto,Dafiti,Sandália Feminina Beira Rio Salto Bloco Preta,"Calçados,Calçados Femininos,Tamanco","R$ 119,99","R$ 79,99","R$ 85,10",1x,Sandália Feminina Beira Rio Salto Bloco Preta,sandalia feminina beira rio salto bloco preta,sandalia feminina beira rio salto bloco preta
Jorge Bischoff,Caramelo,Dafiti,Scarpin Feminino Jorge Bischoff Couro Te...,"Calçados,Calçados Femininos,Scarpin","R$ 499,00","R$ 279,99","R$ 297,86",4x,Scarpin Feminino Jorge Bischoff Couro Te...,scarpin feminino jorge bischoff couro te,scarpin feminino jorge bischoff couro
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Plataforma Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 169,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Vizzano Plataforma Preta,sandalia feminina vizzano plataforma preta,sandalia feminina vizzano plataforma preta
Vizzano,Dourado,Dafiti,Sandália Feminina Vizzano Anabela Dourada,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,99","R$ 129,99","R$ 138,29",2x,Sandália Feminina Vizzano Anabela Dourada,sandalia feminina vizzano anabela dourada,sandalia feminina vizzano anabela dourada
Modare,Off-white,Dafiti,Sapatilha Feminina Modare Detalhe Metali...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 139,90","R$ 99,99","R$ 106,37",1x,Sapatilha Feminina Modare Detalhe Metali...,sapatilha feminina modare detalhe metali,sapatilha feminina modare detalhe metali
Vizzano,Off-white,Dafiti,Sandália Feminina Vizzano Salto Bloco Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Vizzano Salto Bloco Off-White,sandalia feminina vizzano salto bloco off white,sandalia feminina vizzano salto bloco off white
Vizzano,Preto,Dafiti,Mocassim Vizzano Camurça Preto,"Calçados,Calçados Femininos,Mocassim","R$ 149,99","R$ 64,99","R$ 69,14",1x,Mocassim Vizzano Camurça Preto,mocassim vizzano camurca preto,mocassim vizzano camurca preto
Via Mia,Nude,Dafiti,Sapatilha Via Mia Lisa Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,99","R$ 64,99","R$ 69,14",1x,Sapatilha Via Mia Lisa Nude,sapatilha via mia lisa nude,sapatilha via mia lisa nude
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Franjas Salto ...,"Calçados,Calçados Femininos,Sandálias","R$ 179,90","R$ 89,99","R$ 95,73",1x,Sandália Feminina Vizzano Franjas Salto ...,sandalia feminina vizzano franjas salto,sandalia feminina vizzano franjas salto
Vizzano,Caramelo,Dafiti,Rasteira Papete Vizzano Aplicação Caramelo,"Calçados,Calçados Femininos,Papete","R$ 119,99","R$ 59,99","R$ 63,82",1x,Rasteira Papete Vizzano Aplicação Caramelo,rasteira papete vizzano aplicacao caramelo,rasteira papete vizzano aplicacao caramelo
Arezzo,Marrom,Dafiti,Sapatilha Arezzo Ponta Fina Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 249,99","R$ 234,99","R$ 249,99",4x,Sapatilha Arezzo Ponta Fina Marrom,sapatilha arezzo ponta fina marrom,sapatilha arezzo ponta fina marrom
Moleca,Off-white,Dafiti,Rasteira Feminina Moleca Tiras Brilhante...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,90","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Moleca Tiras Brilhante...,rasteira feminina moleca tiras brilhante,rasteira feminina moleca tiras brilhante
Vizzano,Nude,Dafiti,Sandália Feminina Vizzano Salto Bloco Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Vizzano Salto Bloco Nude,sandalia feminina vizzano salto bloco nude,sandalia feminina vizzano salto bloco nude
Bebecê,Caramelo,Dafiti,Scarpin Feminino Bebecê Salto Bloco Tira...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Bebecê Salto Bloco Tira...,scarpin feminino bebece salto bloco tira,scarpin feminino bebece salto bloco tira
Beira Rio,Vinho,Dafiti,Sandália Beira Rio Salto Bloco Médio Vinho,"Calçados,Calçados Femininos,Sandálias","R$ 119,90","R$ 79,99","R$ 85,10",1x,Sandália Beira Rio Salto Bloco Médio Vinho,sandalia beira rio salto bloco medio vinho,sandalia beira rio salto bloco medio vinho
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Grosso Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Beira Rio Salto Grosso Marrom,sandalia feminina beira rio salto grosso marrom,sandalia feminina beira rio salto grosso marrom
Usaflex,Marrom,Dafiti,Sandália Feminina Usaflex Salto Baixo De...,"Calçados,Calçados Femininos,Sandálias","R$ 199,99","R$ 139,99","R$ 148,93",2x,Sandália Feminina Usaflex Salto Baixo De...,sandalia feminina usaflex salto baixo de,sandalia feminina usaflex salto baixo
Moleca,Bege,Dafiti,Sapatilha Moleca Perfuros Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 59,90","R$ 43,99","R$ 46,80",1x,Sapatilha Moleca Perfuros Bege,sapatilha moleca perfuros bege,sapatilha moleca perfuros bege
Santa Lolla,Marrom,Dafiti,Mocassim Santa Lolla Bridão Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 289,90","R$ 159,99","R$ 170,20",2x,Mocassim Santa Lolla Bridão Marrom,mocassim santa lolla bridao marrom,mocassim santa lolla bridao marrom
Asics,Cinza,Dafiti,Tênis Feminino Asics Gel-Excite 11 Cinza,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 499,99","R$ 329,99","R$ 351,05",5x,Tênis Feminino Asics Gel-Excite 11 Cinza,tenis feminino asics gel excite 11 cinza,tenis feminino asics gel excite 11 cinza
Fila,Branco,Dafiti,Tênis  Fila Fx-2 Vintage Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 899,99","R$ 379,99","R$ 404,24",6x,Tênis  Fila Fx-2 Vintage Branco,tenis fila fx 2 vintage branco,tenis fila fx 2 vintage branco
Bebecê,Prata,Dafiti,Scarpin Feminino Bebecê Ponta Fina Metal...,"Calçados,Calçados Femininos,Scarpin","R$ 189,90","R$ 119,99","R$ 127,65",2x,Scarpin Feminino Bebecê Ponta Fina Metal...,scarpin feminino bebece ponta fina metal,scarpin feminino bebece ponta fina metal
Via Mia,Caramelo,Dafiti,Sandália Flatform Via Mia Lisa Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Plataforma","R$ 219,99","R$ 139,99","R$ 148,93",2x,Sandália Flatform Via Mia Lisa Caramelo,sandalia flatform via mia lisa caramelo,sandalia flatform via mia lisa caramelo
Luiza Barcelos,Preto,Dafiti,Scarpin Feminino Luiza Barcelos Salto Qu...,"Calçados,Calçados Femininos,Scarpin","R$ 599,90","R$ 359,99","R$ 382,97",6x,Scarpin Feminino Luiza Barcelos Salto Qu...,scarpin feminino luiza barcelos salto qu,scarpin feminino luiza barcelos salto qu
Lança Perfume,Preto,Dafiti,Rasteira Feminina Lança Perfume Fechada Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 463,00","R$ 299,99","R$ 319,14",5x,Rasteira Feminina Lança Perfume Fechada Preta,rasteira feminina lanca perfume fechada preta,rasteira feminina lanca perfume fechada preta
Converse,Dourado,Dafiti,Tênis Feminino Converse Chuck Taylor All...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 399,90",,"R$ 399,90",6x,Tênis Feminino Converse Chuck Taylor All...,tenis feminino converse chuck taylor all,tenis feminino converse chuck taylor all
Lança Perfume,Preto,Dafiti,Rasteira Feminina Lança Perfume Pedrarias Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 263,00","R$ 139,99","R$ 148,93",2x,Rasteira Feminina Lança Perfume Pedrarias Preta,rasteira feminina lanca perfume pedrarias preta,rasteira feminina lanca perfume pedrarias preta
Santa Lolla,Bege,Dafiti,Sapatilha Mule Santa Lolla Tiras E Fivelas Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 199,90","R$ 119,99","R$ 127,65",2x,Sapatilha Mule Santa Lolla Tiras E Fivelas Bege,sapatilha mule santa lolla tiras e fivelas bege,sapatilha mule santa lolla tiras fivelas bege
Asics,Preto,Dafiti,Tênis Feminino Asics Gel Nimbus 28 Platinum Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 1.399,99","R$ 1.315,98","R$ 1.399,98",10x,Tênis Feminino Asics Gel Nimbus 28 Platinum Preto,tenis feminino asics gel nimbus 28 platinum preto,tenis feminino asics gel nimbus 28 platinum preto
Jorge Bischoff,Marrom,Dafiti,Scarpin Feminino Jorge Bischoff Couro Sl...,"Calçados,Calçados Femininos,Scarpin","R$ 599,00","R$ 359,99","R$ 382,97",6x,Scarpin Feminino Jorge Bischoff Couro Sl...,scarpin feminino jorge bischoff couro sl,scarpin feminino jorge bischoff couro sl
Ramarim,Marrom,Dafiti,Scarpin Ramarim Verniz Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 169,99","R$ 79,99","R$ 85,10",1x,Scarpin Ramarim Verniz Marrom,scarpin ramarim verniz marrom,scarpin ramarim verniz marrom
Santa Lolla,Bege,Dafiti,Rasteira Feminina Santa Lolla Trançada A...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,90","R$ 119,99","R$ 127,65",2x,Rasteira Feminina Santa Lolla Trançada A...,rasteira feminina santa lolla trancada a,rasteira feminina santa lolla trancada
Loucos e Santos,Marrom,Dafiti,Sapato Fechado Feminino Loucos e Santos ...,"Calçados,Calçados Femininos,Scarpin","R$ 399,00","R$ 209,99","R$ 223,39",3x,Sapato Fechado Feminino Loucos e Santos ...,sapato fechado feminino loucos e santos,sapato fechado feminino loucos santos
Moleca,Off-white,Dafiti,Sandália Baixa Moleca Duas Tiras Brilhan...,"Calçados,Calçados Femininos,Sandálias","R$ 119,90","R$ 59,99","R$ 63,82",1x,Sandália Baixa Moleca Duas Tiras Brilhan...,sandalia baixa moleca duas tiras brilhan,sandalia baixa moleca duas tiras brilhan
Beira Rio,Dourado,Dafiti,Sandália Feminina Beira Rio Salto Bloco Dourado,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,99","R$ 119,99","R$ 127,65",2x,Sandália Feminina Beira Rio Salto Bloco Dourado,sandalia feminina beira rio salto bloco dourado,sandalia feminina beira rio salto bloco dourado
